"#","No","Issue Title","Issue Details","State","Labels","User name","created","Updated"
"","1938","请问在windows下如何安装成windows服务呢？","请问在windows下如何安装成windows服务呢？","closed","","zpc870921","2018-11-20T01:55:49Z","2019-05-30T09:33:38Z"
"","2458","collector 和 javaagent不在一台机器上服务注册不上","版本：5.0.0-beta2   启动脚本 ：  java -javaagent:/agent/skywalking-agent.jar -Dskywalking.collector.grpc_channel_check_interval=2 -Dskywalking.collector.app_and_service_register_check_interval=2 -Dcollector.discovery_check_interval=2 -Dskywalking.collector.servers=192.168.2.149:10800 -Dskywalking.agent.application_code=kingkong -jar kingkong.jar  服务配置：    ![image](https://user-images.githubusercontent.com/10845749/55710853-1509e700-5a1e-11e9-88f0-862d9c3cd1a5.png)  补充点 ：      与collector服务部署同一台探针正常！","closed","question,","duanshaowei","2019-04-08T08:49:44Z","2019-04-30T08:55:38Z"
"","1858","Update powered-by.md","添加使用公司","closed","documentation,","landonzeng","2018-11-01T08:42:17Z","2018-11-01T09:22:09Z"
"","2094","聚合查询","每次查询都是根据条件重新做聚合计算的吗？这样数据量大，会不会查询效率很慢？ 能不能支持固定某些指标，自动按照时间段做聚合计算，查询的时候只查询聚合后的结果，而不是全量重新计算。不知道有没有这个特性？","closed","question,","huluxiaojingang","2018-12-28T09:14:38Z","2018-12-28T09:20:37Z"
"","1802","报警配置","有报警相关的说明吗","closed","question,","j782282271","2018-10-24T08:40:13Z","2018-10-24T12:16:37Z"
"","1591","怎么让展示界面支持uri方式？","我们希望在前端界面进行操作时，可以将参数信息保存到URI中。当其他人需要查看相关信息时，直接拷贝URL地址即可。这个要怎么做才能实现？ 比如分页时，将分页条件在地址栏中显示。比如搜索调用信息时，将查询条件在地址栏中显示。","closed","","mrproliu","2018-08-27T10:12:50Z","2018-08-27T10:15:31Z"
