"#","No","Issue Title","Issue Details","State","Labels","User name","created","Updated"
"","5680","管理端登陆密码在哪配置","管理端登陆密码在哪配置","closed","question,","handing777","2020-10-16T08:43:50Z","2020-10-16T08:57:21Z"
"","6528","kafka 批量消费的场景，Skywalking8+版本 链路和traceId如何支持的？kafka batch consumption scenarios, how Skywalking8+ supporting tracing and  traceId in this case?","当kafka生产者多次请求消费产生多条链路，多个traceId，然后kafka消费者批量消费，通过kafka header透传过来的trace链路信息的处理逻辑是什么样的？是随机选择继承一个trace链路吗？求指导！ when kafka producers repeatedly request consumption to produce multiple tracing, multiple traceIds, and then kafka consumers to consume in batches, what is the processing logic of tracing information transmitted through the kafka header? Are randomly selected to inherit a tracing info?","closed","invalid,","chenhuandong8010","2021-03-10T03:30:25Z","2021-03-10T03:32:53Z"
"","6021","Switch the skywalking storage engine to mysql, and consistently report com.mysql.cj.jdbc.exceptions.MysqlDataTruncation error","将skywalking从elasticsearch切换到mysql时，查看日志一致报 com.mysql.cj.jdbc.exceptions.MysqlDataTruncation 错误  我使用的是8.3.0版本  数据库配置： storage:   selector: ${SW_STORAGE:mysql}   mysql:       properties:         jdbcUrl: ${SW_JDBC_URL:""jdbc:mysql://localhost:3306/skywalking""}         dataSource.user: ${SW_DATA_SOURCE_USER:root}         dataSource.password: ${SW_DATA_SOURCE_PASSWORD:root}         dataSource.cachePrepStmts: ${SW_DATA_SOURCE_CACHE_PREP_STMTS:true}         dataSource.prepStmtCacheSize: ${SW_DATA_SOURCE_PREP_STMT_CACHE_SQL_SIZE:250}         dataSource.prepStmtCacheSqlLimit: ${SW_DATA_SOURCE_PREP_STMT_CACHE_SQL_LIMIT:2048}         dataSource.useServerPrepStmts: ${SW_DATA_SOURCE_USE_SERVER_PREP_STMTS:true}       metadataQueryMaxSize: ${SW_STORAGE_MYSQL_QUERY_MAX_SIZE:5000}       maxSizeOfArrayColumn: ${SW_STORAGE_MAX_SIZE_OF_ARRAY_COLUMN:20}       numOfSearchableValuesPerTag: ${SW_STORAGE_NUM_OF_SEARCHABLE_VALUES_PER_TAG:2}  日志报错信息： 2020-12-17 03:32:24,002 - org.apache.skywalking.oap.server.storage.plugin.jdbc.h2.dao.H2BatchDAO - 75 [pool-4-thread-1] ERROR [] - Data truncation: Data too long for column 'source_endpoint' at row 1 com.mysql.cj.jdbc.exceptions.MysqlDataTruncation: Data truncation: Data too long for column 'source_endpoint' at row 1  2020-12-17 03:32:24,203 - org.apache.skywalking.oap.server.storage.plugin.jdbc.h2.dao.H2BatchDAO - 75 [DataCarrier.H2_ASYNCHRONOUS_BATCH_PERSISTENT.BulkConsumePool.0.Thread] ERROR [] - Data truncation: Data too long for column 'endpoint_id' at row 1 com.mysql.cj.jdbc.exceptions.MysqlDataTruncation: Data truncation: Data too long for column 'endpoint_id' at row 1","closed","invalid,","io-better","2020-12-17T03:34:19Z","2020-12-17T04:55:56Z"
"","6074","is:issue is:open 安装 skywalking 6.5在linux上 本身服务起来是必须需要jdk1.8是吗？1.6的不可以是吗？然后如果我们安装好后，可以在jdk1.6的服务里进行使用吗？","一、我想在JDK1.6的环境里使用skywalking 6.5 1、安装skywalking时候必须使用jdk1.8吗？ 2、若我用jdk1.8安装skywalking后可以在jdk1.6的服务里使用吗","closed","invalid,","zhangchengchun","2020-12-24T07:53:44Z","2020-12-24T07:59:52Z"
"","5667","Fix duplicate ExitSpan in Feign LoadBalancer Mechanism","…recorded. because ""feign load balance"" mechanism will retry execute.  Please answer these questions before submitting a pull request  - Why submit this pull request? - [x] Bug fix - [ ] New feature provided - [ ] Improve performance  - Related issues  ___ ### Bug fix - Bug description. Fix duplicate ExitSpan, Maybe this will cause some error message not recorded. because ""feign load balance"" mechanism will retry execute. - How to fix? Add new interceptor for feign load balance"" mechanism,this interceptor will create ""LocalSpan"" not ""ExitSpan"". ___ ### New feature or improvement - Describe the details and related test reports.","closed","plugin,","zifeihan","2020-10-14T11:42:25Z","2020-10-16T03:15:48Z"
"","6131","Unify the service name rule in `metadata-service-mapping.yml` of `mx-…","…mesh` analyzer and Envoy metrics service            - [x] If this pull request closes/resolves/fixes an existing issue, replace the issue number. Closes #. - [x] Update the [`CHANGES` log](https://github.com/apache/skywalking/blob/master/CHANGES.md).","closed","backend,","kezhenxu94","2021-01-05T06:56:38Z","2021-01-08T05:54:08Z"
"","5688","Add agent config `PROPERTIES_REPORT_PERIOD_FACTOR `, Avoid the instanceTraffic record properties is null.","…ecord properties is null.  Please answer these questions before submitting a pull request  - Why submit this pull request? - [ ] Bug fix - [x] New feature provided - [ ] Improve performance  - Related issues  ___ ### Bug fix - Bug description.  - How to fix?  ___ ### New feature or improvement - Describe the details and related test reports. because instanceTraffic record can be cleaned and the agent properties only send once. so some  instanceTraffic record properties is null, Add agent config `TIMES_SEND_PROPERTIES` for resend agent properties.","closed","agent,","zifeihan","2020-10-19T09:06:32Z","2020-10-20T11:26:19Z"
"","6329","fix bug; Detail info see #6328","…/skywalking/issues/6301  ### Fix  - [x] Verify that the fix works. image ![image](https://user-images.githubusercontent.com/8943447/107021309-ef4af600-67de-11eb-8c65-06e75e3536ff.png) ![image](https://user-images.githubusercontent.com/8943447/107021332-f70a9a80-67de-11eb-97fd-0838c0e59213.png)   - [x] Explain briefly why the bug exists and how to fix it. these 2 parameters are the case of over-design, which makes things too complex. We agree, we should remove these 2 parameters, and also create span before method, and stop after that. 1、remove these 2 parameters（close_before_method=true & close_ after_ Method）, and also create span before method, and stop after that. 2、add span isActive judgment logic. 3、This will be better when we also upload some common info such as method name and request param info. The actual effect can refer to the verification picture provided above  - [x] If this pull request closes/resolves/fixes an existing issue, replace the issue number. Closes #.","closed","don't merge,","gaoweijie","2021-02-05T10:37:13Z","2021-03-08T07:53:21Z"
"","6328","fix bug about memory leak; Detail info @see https://github.com/apache…","…/skywalking/issues/6301  ### Fix  - [x] Verify that the fix works. ![image](https://user-images.githubusercontent.com/8943447/107018175-0e478900-67db-11eb-9366-c36b32511ae5.png) ![image](https://user-images.githubusercontent.com/8943447/107018207-19021e00-67db-11eb-9df2-0547e2472147.png)  - [x] Explain briefly why the bug exists and how to fix it. these 2 parameters are the case of over-design, which makes things too complex. We agree, we should remove these 2 parameters, and also create span before method, and stop after that.  1、remove these 2 parameters（close_before_method=true & close_ after_ Method）, and also create span before method, and stop after that.  2、add  span isActive judgment logic. 3、This will be better when we also upload some common info such as method name and request param info. The actual effect can refer to the verification picture provided above   - [x] If this pull request closes/resolves/fixes an existing issue, replace the issue number. Closes #6301.","closed","enhancement,","gaoweijie","2021-02-05T10:01:54Z","2021-02-05T12:23:58Z"
"","6494","zuul with skywalking8.4.0 config grpc but the skywalking log does not work","zuul config with skywalking grpc,but the skywalking console can not show the traceId,the current version 8.4.0  ![image](https://user-images.githubusercontent.com/21330215/110075149-51d2ea00-7dbd-11eb-88ad-00cb875d4d3c.png) ![image](https://user-images.githubusercontent.com/21330215/110075187-61eac980-7dbd-11eb-9a22-9ec702d9bff0.png)","closed","duplicate,","apple987","2021-03-05T06:16:54Z","2021-03-05T10:03:53Z"
