No,Repository name,Version,  Commits  ,Lines of code,Number of classes,Number of packages,Number of external packages,Number of external classes,Number of problematic classes,Number of highly problematic classes,Version link
43,Selenium,2021-1," 26,202.00 ",41483,1290,138,4,19,15,0,https://github.com/SeleniumHQ/selenium/tree/4af354bb99abf3191473fa32f636063311a378d5
44,Selenium,2020-1," 24,579.00 ",32347,1079,105,4,11,4,0,https://github.com/SeleniumHQ/selenium/tree/58249b7943198e92ce083f42052380fa2dbcfd61
45,Selenium,2019-1," 23,328.00 ",32416,1045,100,86,597,30,2,https://github.com/SeleniumHQ/selenium/tree/d25b01eca78ae9982e3c1fed7f2294a91c186f54
46,Selenium,2018-1," 21,649.00 ",27274,910,72,84,483,36,2,https://github.com/SeleniumHQ/selenium/tree/f3eafa022fe42e3aa200821f3175350b611209c8
47,Selenium,2017-1," 19,817.00 ",24648,835,67,89,547,22,1,https://github.com/SeleniumHQ/selenium/tree/9a39af7619b7165af80bd6d7b688369479baeeed
48,Selenium,2016-1," 18,306.00 ",33234,929,71,325,62,8,0,https://github.com/SeleniumHQ/selenium/tree/4c35228399ed9b0610d41e5b8c758563c129efbc
49,Skywalking,2021-1," 6,145.00 ",72800,3001,765,3,22,0,0,https://github.com/apache/skywalking/tree/61011635135cfe777370db59f0988d5a3c546dd2
50,Skywalking,2020-1," 5,393.00 ",50974,2224,540,2,17,0,0,https://github.com/apache/skywalking/tree/568c2e53f09855199884f65f38a9e4771a5a6467
51,Skywalking,2019-1," 4,503.00 ",29773,1238,269,2,16,0,0,https://github.com/apache/skywalking/tree/8506f8f3c5afb1af762bcd7b3d221121bf242ea7
52,Skywalking,2018-1," 3,152.00 ",23363,1113,247,2,17,0,0,https://github.com/apache/skywalking/tree/e5ea6cf33154f4319a82029038ca533e4e593384
53,Skywalking,2017-1," 1,287.00 ",8544,379,98,2,4,0,0,https://github.com/apache/skywalking/tree/a944427df8f85f9881169ed3f342e36091f4d3e8
54,Skywalking,2016-1, 282.00 ,7194,253,80,1,3,0,0,https://github.com/apache/skywalking/tree/c1a90c9b7f26cce27e6fa13ecf055dd78eff1163
55,Signal android,2021-1," 6,654.00 ",136947,3338,209,2,25,1,0,https://github.com/signalapp/Signal-Android/tree/ccd405fdce5f3d0a3f934e9ac02a4f0e33c9ed10
56,Signal android,2020-1," 4,849.00 ",91578,2239,141,2,15,1,0,https://github.com/signalapp/Signal-Android/tree/fe5fca8eaf3f73ab5b350d7d6b3c17b27729d92a
57,Signal android,2019-1," 3,930.00 ",63589,1357,85,2,9,1,0,https://github.com/signalapp/Signal-Android/tree/1c3052a580f8d40f235f0e3d2da9c4cda2f3860e
58,Signal android,2018-1," 3,339.00 ",46727,1075,67,2,9,1,0,https://github.com/signalapp/Signal-Android/tree/b307980d8ca0da588213d2cd448474ffa925d1c2
59,Signal android,2017-1," 2,601.00 ",47528,1078,71,1,7,3,0,https://github.com/signalapp/Signal-Android/tree/57cdbaedd646529ede41749fce0f16e1fe0b5ea3
60,Signal android,2016-1," 2,299.00 ",42098,950,56,1,7,3,0,https://github.com/signalapp/Signal-Android/tree/df27fa47ed92f941e887e40974ae5f217f999294
,,,,,,,,,,,
