QualifiedName,Name,Complexity,Coupling,Size,Lack of Cohesion,CBO,RFC,SRFC,DIT,NOC,WMC,LOC,CMLOC,NOF,NOSF,NOM,NOSM,NORM,LCOM,LCAM,LTCC,ATFD,SI,Coverage,#(C&I),#C,#I,LOC,AC,EC,Abs,Ins,ND,WMC,Coverage,MCC,NBD,LOC,#Pa,#MC,#AF
Signal-Android-ccd405fdce5f3d0a3f934e9ac02a4f0e33c9ed10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<Package>androidx.camera.view,androidx.camera.view,low,low,low-medium,low,,,,,,121,703,,,,,,,,,,,,,5,5,0,703,0,0,0,1,0,121,,,,,,,
androidx.camera.view.SignalCameraView,SignalCameraView,low-medium,low,medium-high,medium-high,0,30,0,0,0,36,336,109,3,8,30,0,0,1.364,0.767,0.995,0,0,,,,,336,,,,,,36,,,,,,,
androidx.camera.view.SignalCameraView.CaptureMode,CaptureMode,low,low,low,low,0,3,0,0,0,5,14,9,1,3,2,1,0,1.125,0.167,0,0,0,,,,,14,,,,,,5,,,,,,,
<Anonymous> : Landroidx.camera.view.SignalCameraView$22654;,Landroidx.camera.view.SignalCameraView$22654;,low,low,low,low,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,,,,,6,,,,,,0,,,,,,,
androidx.camera.view.SignalCameraView.PinchToZoomGestureDetector,PinchToZoomGestureDetector,low,low,low,low,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,,,,,23,,,,,,0,,,,,,,
androidx.camera.view.SignalCameraView.S,S,low,low,low,low,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,,,,,7,,,,,,0,,,,,,,
<Method>androidx.camera.view.SignalCameraView. getDisplaySurfaceRotation( ): int, getDisplaySurfaceRotation( ): int,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,5,0,0,0
"<Method>androidx.camera.view.SignalCameraView. rangeLimit( float, float, float ): float"," rangeLimit( float, float, float ): float",low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,3,0,0
<Method>androidx.camera.view.SignalCameraView.private delta( ): long,delta( ): long,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,0,0,1
<Method>androidx.camera.view.SignalCameraView.public enableTorch( boolean ): void,enableTorch( boolean ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,1,0,0
<Method>androidx.camera.view.SignalCameraView.public getCaptureMode( ): CaptureMode,getCaptureMode( ): CaptureMode,low,low,low,low,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,0,0,0
