QualifiedName,Name,Complexity,Coupling,Size,Lack of Cohesion,CBO,RFC,SRFC,DIT,NOC,WMC,LOC,CMLOC,NOF,NOSF,NOM,NOSM,NORM,LCOM,LCAM,LTCC,ATFD,SI,Coverage,#(C&I),#C,#I,LOC,AC,EC,Abs,Ins,ND,WMC,Coverage,MCC,NBD,LOC,#Pa,#MC,#AF
Signal-Android-df27fa47ed92f941e887e40974ae5f217f999294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<Package>org.thoughtcrime.securesms,org.thoughtcrime.securesms,medium-high,low,very-high,low,,,,,,555,7935,,,,,,,,,,,,,190,172,18,7935,0,0,0.126,1,0.126,555,,,,,,,
org.thoughtcrime.securesms.ConversationActivity,ConversationActivity,high,low,very-high,medium-high,0,55,14,0,0,117,1008,554,6,8,55,0,0,0.942,0.775,1,0,0,,,,,1008,,,,,,117,,,,,,,
org.thoughtcrime.securesms.ConversationActivity.AttachButtonListener,AttachButtonListener,low,low,low,low,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,,,,,4,,,,,,0,,,,,,,
org.thoughtcrime.securesms.ConversationActivity.AttachButtonLongClickListener,AttachButtonLongClickListener,low,low,low,low,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,,,,,4,,,,,,0,,,,,,,
org.thoughtcrime.securesms.ConversationActivity.AttachmentTypeListener,AttachmentTypeListener,low,low,low,low,0,2,1,0,0,1,4,3,0,0,1,0,0,0,0,0,0,0,,,,,4,,,,,,1,,,,,,,
org.thoughtcrime.securesms.ConversationActivity.ComposeKeyPressedListener,ComposeKeyPressedListener,low,low,low,low,0,0,0,0,0,0,30,0,1,0,0,0,0,0,0,0,0,0,,,,,30,,,,,,0,,,,,,,
<Anonymous> : Lorg.thoughtcrime.securesms.ConversationActivity$10893;,Lorg.thoughtcrime.securesms.ConversationActivity$10893;,low,low,low,low,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,,,,,4,,,,,,0,,,,,,,
<Anonymous> : Lorg.thoughtcrime.securesms.ConversationActivity$11406;,Lorg.thoughtcrime.securesms.ConversationActivity$11406;,low,low,low,low,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,,,,,4,,,,,,0,,,,,,,
<Anonymous> : Lorg.thoughtcrime.securesms.ConversationActivity$19042;,Lorg.thoughtcrime.securesms.ConversationActivity$19042;,low,low,low,low,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,,,,,11,,,,,,0,,,,,,,
<Anonymous> : Lorg.thoughtcrime.securesms.ConversationActivity$19190;,Lorg.thoughtcrime.securesms.ConversationActivity$19190;,low,low,low,low,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,,,,,6,,,,,,0,,,,,,,
<Anonymous> : Lorg.thoughtcrime.securesms.ConversationActivity$19686;,Lorg.thoughtcrime.securesms.ConversationActivity$19686;,low,low,low,low,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,,,,,6,,,,,,0,,,,,,,
<Anonymous> : Lorg.thoughtcrime.securesms.ConversationActivity$20329;,Lorg.thoughtcrime.securesms.ConversationActivity$20329;,low,low,low,low,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,,,,,11,,,,,,0,,,,,,,
<Anonymous> : Lorg.thoughtcrime.securesms.ConversationActivity$20511;,Lorg.thoughtcrime.securesms.ConversationActivity$20511;,low,low,low,low,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,,,,,6,,,,,,0,,,,,,,
<Anonymous> : Lorg.thoughtcrime.securesms.ConversationActivity$21812;,Lorg.thoughtcrime.securesms.ConversationActivity$21812;,low,low,low,low,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,,,,,15,,,,,,0,,,,,,,
<Anonymous> : Lorg.thoughtcrime.securesms.ConversationActivity$22196;,Lorg.thoughtcrime.securesms.ConversationActivity$22196;,low,low,low,low,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,,,,,7,,,,,,0,,,,,,,
<Anonymous> : Lorg.thoughtcrime.securesms.ConversationActivity$23675;,Lorg.thoughtcrime.securesms.ConversationActivity$23675;,low,low,low,low,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,,,,,18,,,,,,0,,,,,,,
<Anonymous> : Lorg.thoughtcrime.securesms.ConversationActivity$25444;,Lorg.thoughtcrime.securesms.ConversationActivity$25444;,low,low,low,low,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,,,,,6,,,,,,0,,,,,,,
<Anonymous> : Lorg.thoughtcrime.securesms.ConversationActivity$25989;,Lorg.thoughtcrime.securesms.ConversationActivity$25989;,low,low,low,low,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,,,,,6,,,,,,0,,,,,,,
<Anonymous> : Lorg.thoughtcrime.securesms.ConversationActivity$30033;,Lorg.thoughtcrime.securesms.ConversationActivity$30033;,low,low,low,low,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,,,,,25,,,,,,0,,,,,,,
<Anonymous> : Lorg.thoughtcrime.securesms.ConversationActivity$31879;,Lorg.thoughtcrime.securesms.ConversationActivity$31879;,low,low,low,low,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,,,,,23,,,,,,0,,,,,,,
<Anonymous> : Lorg.thoughtcrime.securesms.ConversationActivity$33920;,Lorg.thoughtcrime.securesms.ConversationActivity$33920;,low,low,low,low,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,,,,,7,,,,,,0,,,,,,,
<Anonymous> : Lorg.thoughtcrime.securesms.ConversationActivity$36749;,Lorg.thoughtcrime.securesms.ConversationActivity$36749;,low,low,low,low,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,,,,,7,,,,,,0,,,,,,,
<Anonymous> : Lorg.thoughtcrime.securesms.ConversationActivity$37155;,Lorg.thoughtcrime.securesms.ConversationActivity$37155;,low,low,low,low,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,,,,,6,,,,,,0,,,,,,,
<Anonymous> : Lorg.thoughtcrime.securesms.ConversationActivity$37576;,Lorg.thoughtcrime.securesms.ConversationActivity$37576;,low,low,low,low,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,,,,,4,,,,,,0,,,,,,,
<Anonymous> : Lorg.thoughtcrime.securesms.ConversationActivity$39508;,Lorg.thoughtcrime.securesms.ConversationActivity$39508;,low,low,low,low,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,,,,,7,,,,,,0,,,,,,,
<Anonymous> : Lorg.thoughtcrime.securesms.ConversationActivity$39819;,Lorg.thoughtcrime.securesms.ConversationActivity$39819;,low,low,low,low,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,,,,,5,,,,,,0,,,,,,,
<Anonymous> : Lorg.thoughtcrime.securesms.ConversationActivity$40062;,Lorg.thoughtcrime.securesms.ConversationActivity$40062;,low,low,low,low,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,,,,,10,,,,,,0,,,,,,,
<Anonymous> : Lorg.thoughtcrime.securesms.ConversationActivity$42999;,Lorg.thoughtcrime.securesms.ConversationActivity$42999;,low,low,low,low,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,,,,,4,,,,,,0,,,,,,,
