QualifiedName,Name,Complexity,Coupling,Size,Lack of Cohesion,CBO,RFC,SRFC,DIT,NOC,WMC,LOC,CMLOC,NOF,NOSF,NOM,NOSM,NORM,LCOM,LCAM,LTCC,ATFD,SI,Coverage,#(C&I),#C,#I,LOC,AC,EC,Abs,Ins,ND,WMC,Coverage,MCC,NBD,LOC,#Pa,#MC,#AF
Signal-Android-b307980d8ca0da588213d2cd448474ffa925d1c2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<Package>org.thoughtcrime.securesms,org.thoughtcrime.securesms,medium-high,low,very-high,low,,,,,,739,10019,,,,,,,,,,,,,206,189,17,10019,0,0,0.112,1,0.112,739,,,,,,,
org.thoughtcrime.securesms.ApplicationContext,ApplicationContext,low,low,low-medium,low,0,11,10,0,0,19,93,78,0,0,11,0,0,0,0,0,0,0,,,,,93,,,,,,19,,,,,,,
<Anonymous> : Lorg.thoughtcrime.securesms.ApplicationContext$6243;,Lorg.thoughtcrime.securesms.ApplicationContext$6243;,low,low,low,low,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,,,,,5,,,,,,0,,,,,,,
<Anonymous> : Lorg.thoughtcrime.securesms.ApplicationContext$6391;,Lorg.thoughtcrime.securesms.ApplicationContext$6391;,low,low,low,low,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,,,,,4,,,,,,0,,,,,,,
<Anonymous> : Lorg.thoughtcrime.securesms.ApplicationContext$7195;,Lorg.thoughtcrime.securesms.ApplicationContext$7195;,low,low,low,low,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,,,,,9,,,,,,0,,,,,,,
<Method>org.thoughtcrime.securesms.ApplicationContext.private initializeCircumvention( ): void,initializeCircumvention( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,13,0,0,0
<Method>org.thoughtcrime.securesms.ApplicationContext.private initializeDependencyInjection( ): void,initializeDependencyInjection( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,0,0,0
<Method>org.thoughtcrime.securesms.ApplicationContext.private initializeExpiringMessageManager( ): void,initializeExpiringMessageManager( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,0,0,0
<Method>org.thoughtcrime.securesms.ApplicationContext.private initializeGcmCheck( ): void,initializeGcmCheck( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,5,0,0,0
<Method>org.thoughtcrime.securesms.ApplicationContext.private initializeJobManager( ): void,initializeJobManager( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,10,0,0,0
<Method>org.thoughtcrime.securesms.ApplicationContext.private initializeLogging( ): void,initializeLogging( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,0,0,0
<Method>org.thoughtcrime.securesms.ApplicationContext.private initializePeriodicTasks( ): void,initializePeriodicTasks( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,5,0,0,0
<Method>org.thoughtcrime.securesms.ApplicationContext.private initializeRandomNumberFix( ): void,initializeRandomNumberFix( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,0,0,0
<Method>org.thoughtcrime.securesms.ApplicationContext.private initializeSignedPreKeyCheck( ): void,initializeSignedPreKeyCheck( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,3,0,0,0
