QualifiedName,Name,Complexity,Coupling,Size,Lack of Cohesion,CBO,RFC,SRFC,DIT,NOC,WMC,LOC,CMLOC,NOF,NOSF,NOM,NOSM,NORM,LCOM,LCAM,LTCC,ATFD,SI,Coverage,#(C&I),#C,#I,LOC,AC,EC,Abs,Ins,ND,WMC,Coverage,MCC,NBD,LOC,#Pa,#MC,#AF
Signal-Android-fe5fca8eaf3f73ab5b350d7d6b3c17b27729d92a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<Package>org.signal.signing,org.signal.signing,low,low,low,low,,,,,,0,67,,,,,,,,,,,,,1,1,0,67,0,0,0,1,0,0,,,,,,,
org.signal.signing.ApkSignerUtil,ApkSignerUtil,low,low,low-medium,low,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,,,,,67,,,,,,0,,,,,,,
<Package>org.thoughtcrime.securesms,org.thoughtcrime.securesms,low-medium,low,very-high,low,,,,,,476,6178,,,,,,,,,,,,,152,135,17,6178,0,0,0.145,1,0.145,476,,,,,,,
org.thoughtcrime.securesms.ApplicationContext,ApplicationContext,low-medium,low,low-medium,low,0,22,19,0,0,41,197,157,1,0,22,0,0,0,0,1,0,0,,,,,197,,,,,,41,,,,,,,
<Anonymous> : Lorg.thoughtcrime.securesms.ApplicationContext$11791;,Lorg.thoughtcrime.securesms.ApplicationContext$11791;,low,low,low,low,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,,,,,13,,,,,,0,,,,,,,
<Anonymous> : Lorg.thoughtcrime.securesms.ApplicationContext$12170;,Lorg.thoughtcrime.securesms.ApplicationContext$12170;,low,low,low,low,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,,,,,4,,,,,,0,,,,,,,
<Anonymous> : Lorg.thoughtcrime.securesms.ApplicationContext$12777;,Lorg.thoughtcrime.securesms.ApplicationContext$12777;,low,low,low,low,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,,,,,9,,,,,,0,,,,,,,
org.thoughtcrime.securesms.ApplicationContext.ProviderInitializationException,ProviderInitializationException,low,low,low,low,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,1,,,,,,0,,,,,,,
<Method>org.thoughtcrime.securesms.ApplicationContext.private executePendingContactSync( ): void,executePendingContactSync( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,3,0,0,0
<Method>org.thoughtcrime.securesms.ApplicationContext.private initializeAppDependencies( ): void,initializeAppDependencies( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,0,0,0
<Method>org.thoughtcrime.securesms.ApplicationContext.private initializeApplicationMigrations( ): void,initializeApplicationMigrations( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,0,0,0
<Method>org.thoughtcrime.securesms.ApplicationContext.private initializeBlobProvider( ): void,initializeBlobProvider( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,4,0,0,0
<Method>org.thoughtcrime.securesms.ApplicationContext.private initializeCameraX( ): void,initializeCameraX( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,9,0,0,0
<Method>org.thoughtcrime.securesms.ApplicationContext.private initializeCircumvention( ): void,initializeCircumvention( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,13,0,0,0
<Method>org.thoughtcrime.securesms.ApplicationContext.private initializeCrashHandling( ): void,initializeCrashHandling( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,0,0,0
<Method>org.thoughtcrime.securesms.ApplicationContext.private initializeExpiringMessageManager( ): void,initializeExpiringMessageManager( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,0,0,0
<Method>org.thoughtcrime.securesms.ApplicationContext.private initializeFirstEverAppLaunch( ): void,initializeFirstEverAppLaunch( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,13,0,0,0
<Method>org.thoughtcrime.securesms.ApplicationContext.private initializeGcmCheck( ): void,initializeGcmCheck( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,5,0,0,0
<Method>org.thoughtcrime.securesms.ApplicationContext.private initializeLogging( ): void,initializeLogging( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,0,0,0
<Method>org.thoughtcrime.securesms.ApplicationContext.public initializeMessageRetrieval( ): void,initializeMessageRetrieval( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,0,0,0
<Method>org.thoughtcrime.securesms.ApplicationContext.private initializePendingMessages( ): void,initializePendingMessages( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,8,0,0,0
<Method>org.thoughtcrime.securesms.ApplicationContext.private initializePeriodicTasks( ): void,initializePeriodicTasks( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,7,0,0,0
<Method>org.thoughtcrime.securesms.ApplicationContext.private initializeRevealableMessageManager( ): void,initializeRevealableMessageManager( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,0,0,0
<Method>org.thoughtcrime.securesms.ApplicationContext.private initializeRingRtc( ): void,initializeRingRtc( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,26,0,0,0
<Method>org.thoughtcrime.securesms.ApplicationContext.private initializeSecurityProvider( ): void,initializeSecurityProvider( ): void,low,low,low,low,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,15,0,0,0
<Method>org.thoughtcrime.securesms.ApplicationContext.private initializeSignedPreKeyCheck( ): void,initializeSignedPreKeyCheck( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,3,0,0,0
<Method>org.thoughtcrime.securesms.ApplicationContext.private initializeTypingStatusRepository( ): void,initializeTypingStatusRepository( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,0,0,0
<Method>org.thoughtcrime.securesms.ApplicationContext.private initializeTypingStatusSender( ): void,initializeTypingStatusSender( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,0,0,0
<Method>org.thoughtcrime.securesms.ApplicationContext.public isAppVisible( ): boolean,isAppVisible( ): boolean,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,0,0,1
<Method>org.thoughtcrime.securesms.ApplicationContext.public onCreate( ): void,onCreate( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,28,0,19,0
<Field>org.thoughtcrime.securesms.ApplicationContext->isAppVisible,volatile isAppVisible : boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
org.thoughtcrime.securesms.ApplicationPreferencesActivity,ApplicationPreferencesActivity,low,low,low-medium,low,0,3,0,0,0,4,163,20,0,0,3,0,0,0,0,0,0,0,,,,,163,,,,,,4,,,,,,,
org.thoughtcrime.securesms.ApplicationPreferencesActivity.ApplicationPreferenceFragment,ApplicationPreferenceFragment,low,low,low,low,0,4,2,0,0,7,107,26,0,0,4,0,0,0,0,0,0,0,,,,,107,,,,,,7,,,,,,,
<Method>org.thoughtcrime.securesms.ApplicationPreferencesActivity.protected onPreCreate( ): void,onPreCreate( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,0,0,0
<Method>org.thoughtcrime.securesms.ApplicationPreferencesActivity.public onResume( ): void,onResume( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,5,0,0,0
<Method>org.thoughtcrime.securesms.ApplicationPreferencesActivity.public onSupportNavigateUp( ): boolean,onSupportNavigateUp( ): boolean,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,11,0,0,0
org.thoughtcrime.securesms.BaseActionBarActivity,BaseActionBarActivity,low,low,low,low,0,4,1,0,0,9,48,25,0,0,4,0,0,0,0.375,0,0,0,,,,,48,,,,,,9,,,,,,,
<Method>org.thoughtcrime.securesms.BaseActionBarActivity.private forceOverflowMenu( ): void,forceOverflowMenu( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,11,0,0,0
<Method>org.thoughtcrime.securesms.BaseActionBarActivity.private initializeScreenshotSecurity( ): void,initializeScreenshotSecurity( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,5,0,0,0
<Method>org.thoughtcrime.securesms.BaseActionBarActivity.protected onResume( ): void,onResume( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,5,0,1,0
<Method>org.thoughtcrime.securesms.BaseActionBarActivity.protected setStatusBarColor( int ): void,setStatusBarColor( int ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,4,1,0,0
org.thoughtcrime.securesms.BaseActivity,BaseActivity,low,low,low,low,0,2,0,0,0,2,21,8,0,0,1,1,0,0,0,0,0,0,,,,,21,,,,,,2,,,,,,,
<Method>org.thoughtcrime.securesms.BaseActivity.protected onResume( ): void,onResume( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,0,0,0
