QualifiedName,Name,Complexity,Coupling,Size,Lack of Cohesion,CBO,RFC,SRFC,DIT,NOC,WMC,LOC,CMLOC,NOF,NOSF,NOM,NOSM,NORM,LCOM,LCAM,LTCC,ATFD,SI,Coverage,#(C&I),#C,#I,LOC,AC,EC,Abs,Ins,ND,WMC,Coverage,MCC,NBD,LOC,#Pa,#MC,#AF
org.thoughtcrime.securesms.ApplicationPreferencesActivity,ApplicationPreferencesActivity,low,low,low-medium,low,0,3,0,0,0,4,177,20,0,0,3,0,0,0,0,0,0,0,,,,,177,,,,,,4,,,,,,,
org.thoughtcrime.securesms.ApplicationPreferencesActivity.ApplicationPreferenceFragment,ApplicationPreferenceFragment,low,low,low,low,0,3,2,0,0,5,122,22,0,0,3,0,0,0,0,0,0,0,,,,,122,,,,,,5,,,,,,,
<Method>org.thoughtcrime.securesms.ApplicationPreferencesActivity.protected onPreCreate( ): void,onPreCreate( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,0,0,0
<Method>org.thoughtcrime.securesms.ApplicationPreferencesActivity.public onResume( ): void,onResume( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,5,0,0,0
<Method>org.thoughtcrime.securesms.ApplicationPreferencesActivity.public onSupportNavigateUp( ): boolean,onSupportNavigateUp( ): boolean,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,11,0,0,0
org.thoughtcrime.securesms.BaseActionBarActivity,BaseActionBarActivity,low,low,low,low,0,4,1,0,0,10,45,25,0,0,4,0,0,0,0.375,0,0,0,,,,,45,,,,,,10,,,,,,,
<Method>org.thoughtcrime.securesms.BaseActionBarActivity.private forceOverflowMenu( ): void,forceOverflowMenu( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,11,0,0,0
<Method>org.thoughtcrime.securesms.BaseActionBarActivity.private initializeScreenshotSecurity( ): void,initializeScreenshotSecurity( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,6,0,0,0
<Method>org.thoughtcrime.securesms.BaseActionBarActivity.protected onResume( ): void,onResume( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,0,1,0
<Method>org.thoughtcrime.securesms.BaseActionBarActivity.protected setStatusBarColor( int ): void,setStatusBarColor( int ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,4,1,0,0
org.thoughtcrime.securesms.BaseActivity,BaseActivity,low,low,low,low,0,1,0,0,0,1,14,4,0,0,0,1,0,0,0,0,0,0,,,,,14,,,,,,1,,,,,,,
<Method>org.thoughtcrime.securesms.BaseActivity.public static isMenuWorkaroundRequired( ): boolean,static isMenuWorkaroundRequired( ): boolean,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,0,0,0
org.thoughtcrime.securesms.BasicIntroFragment,BasicIntroFragment,low,low,low,low,0,2,0,0,0,2,31,9,3,0,1,1,0,0,0.25,1,0,0,,,,,31,,,,,,2,,,,,,,
<Method>org.thoughtcrime.securesms.BasicIntroFragment.public BasicIntroFragment( ): void,BasicIntroFragment( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0
"<Method>org.thoughtcrime.securesms.BasicIntroFragment.public static newInstance( int, int, int ): BasicIntroFragment","static newInstance( int, int, int ): BasicIntroFragment",low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,8,3,0,0
<Field>org.thoughtcrime.securesms.BasicIntroFragment->drawable,drawable : int,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<Field>org.thoughtcrime.securesms.BasicIntroFragment->subtext,subtext : int,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<Field>org.thoughtcrime.securesms.BasicIntroFragment->text,text : int,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
org.thoughtcrime.securesms.BindableConversationItem,BindableConversationItem,low,low,low,low,0,1,0,1,0,3,17,1,0,0,1,0,0,0,0,0,0,0,,,,,17,,,,,,3,,,,,,,
