"#","No","Issue Title","Issue Details","State","Labels","User name","created","Updated"
"","5331","Dropwizard upgraded to 2.1.0 - Getting BlackBird warning","Upon upgrading from dropwizard `2.0.25` to `2.1.0`, This warning is emitted whenever the application boots:  ``` WARN  [2022-05-26 10:38:18,889] com.fasterxml.jackson.module.blackbird.BlackbirdModule: Unable to find Java 9+ MethodHandles.privateLookupIn.  Blackbird is not performing optimally! ! java.lang.NoSuchMethodError: java.lang.invoke.MethodHandles.privateLookupIn(Ljava/lang/Class;Ljava/lang/invoke/MethodHandles$Lookup;)Ljava/lang/invoke/MethodHandles$Lookup; ```  What does this error mean? is it looking for Java 9+ functionality that is not available in my Java 8 environment?  Also:  > Blackbird is not performing optimally!  Am I incurring a performance cost here vis-a-vis dropwizard `2.0.25`?","closed","","SHxKM","2022-05-26T07:44:48Z","2022-05-26T09:17:34Z"
"","5430","Use Visual Studio 2022 image and Java 17 on AppVeyor","Update to latest runtime image and Java 17 on AppVeyor.","closed","task,","joschi","2022-06-20T18:04:38Z","2022-06-20T19:44:03Z"
"","4583","Update security policy to reflect status of 1.3.x","Update security policy to reflect status of 1.3.x  https://github.com/dropwizard/dropwizard/security/policy https://github.com/dropwizard/dropwizard/releases/tag/v1.3.29","closed","task,","mattnelson","2022-01-05T20:17:33Z","2022-01-08T12:39:37Z"
"","4920","Remove NonblockingServletHolder","This was scheduled for removal in Dropwizard 2.1.0","closed","","rhowe","2022-03-08T23:29:41Z","2022-03-09T08:18:40Z"
"","5050","Remove guava as a dependency of dropwizard-auth","This was only here in order to annotate a field as `@VisibleForTesting`","closed","task,","rhowe","2022-03-28T18:38:55Z","2022-03-28T19:28:48Z"
"","4800","Simplify inheritance in dropwizard-configuration test","This was inspired by Sonar getting upset about the lack of assertions in `BaseConfigurationFactoryTest#printsDetailedInformationOnMalformedContent()`.  Move assertion logic to the base class, with subclasses simply supplying the string to check for.  This should remove 1 of the 6 'Blocker' issues in Sonar.  Not sure I'm completely satisfied with the result, but see what you think....","closed","","rhowe","2022-02-21T20:46:33Z","2022-02-26T09:34:55Z"
"","5019","Remove deprecated `BooleanParam`","This was deprecated since 69f6e77a19778aeb9a0c5bab897c5e8363ca1dbb in 2019 and slated for removal in 3.0.0","closed","task,","rhowe","2022-03-22T07:57:13Z","2022-03-22T20:48:08Z"
"","5045","Remove deprecated `Throwables#getRootCause(Throwable)`","This was deprecated in 2.1.x and is not used by Dropwizard.","closed","task,","rhowe","2022-03-28T07:16:52Z","2022-03-28T09:10:43Z"
"","4636","Remove duplicate logfile from dropwizard-logging tests (#4568)","This was added in cc53136ae8754c20df268b6ea1a0cf3528618450 but isn't used by the tests.  It causes errors to be logged during tests as the `currentLogFilename` is identical to another log configuration in the same file.  `FileAppenderFactoryTest` tests the behaviour of `FileAppenderFactory` directly without roundtripping through the YAML configuration parser.  Remove the duplicate log file definition.","closed","improvement,","rhowe","2022-01-22T10:02:36Z","2022-01-22T16:41:26Z"
"","4955","Remove deprecated `FixtureHelpers` from the docs","This should've been part of 2df06548a8821c92446c1b8e4055bdd81afbe79b but it got missed.  Also that commit got the path to `person.json` incorrect. The earlier parts of the docs say to put it in `src/test/resources/fixtures` so make the code consistent with that.  Refs https://github.com/dropwizard/dropwizard/pull/4890","closed","documentation,","rhowe","2022-03-10T17:00:08Z","2022-03-12T08:04:18Z"
