QualifiedName,Name,Complexity,Coupling,Size,Lack of Cohesion,CBO,RFC,SRFC,DIT,NOC,WMC,LOC,CMLOC,NOF,NOSF,NOM,NOSM,NORM,LCOM,LCAM,LTCC,ATFD,SI,Coverage,#(C&I),#C,#I,LOC,AC,EC,Abs,Ins,ND,WMC,Coverage,MCC,NBD,LOC,#Pa,#MC,#AF
skywalking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<Package>com.a.eye.skywalking.agent,com.a.eye.skywalking.agent,low,low,low,low,,,,,,1,39,,,,,,,,,,,,,1,1,0,39,0,0,0,1,0,1,,,,,,,
com.a.eye.skywalking.agent.SkyWalkingAgent,SkyWalkingAgent,low,low,low,low,0,1,0,0,0,1,39,4,0,0,0,1,0,0,0,0,0,0,,,,,39,,,,,,1,,,,,,,
<Anonymous> : Lcom.a.eye.skywalking.agent.SkyWalkingAgent$1654;,Lcom.a.eye.skywalking.agent.SkyWalkingAgent$1654;,low,low,low,low,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,,,,,4,,,,,,0,,,,,,,
<Anonymous> : Lcom.a.eye.skywalking.agent.SkyWalkingAgent$2079;,Lcom.a.eye.skywalking.agent.SkyWalkingAgent$2079;,low,low,low,low,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,,,,,10,,,,,,0,,,,,,,
<Method>com.a.eye.skywalking.agent.SkyWalkingAgent.private static initConfig( ): void,static initConfig( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,0,0,0
<Package>com.a.eye.skywalking.agent.junction,com.a.eye.skywalking.agent.junction,low,low,low,low,,,,,,2,14,,,,,,,,,,,,,2,2,0,14,0,0,0.5,1,0.5,2,,,,,,,
com.a.eye.skywalking.agent.junction.AbstractJunction<V>,AbstractJunction,low,low,low,low,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,,,,,7,,,,,,0,,,,,,,
com.a.eye.skywalking.agent.junction.SkyWalkingEnhanceMatcher<T>,SkyWalkingEnhanceMatcher,low,low,low,low,0,1,0,0,0,2,7,3,0,0,1,0,0,0,0,0,0,0,,,,,7,,,,,,2,,,,,,,
<Method>com.a.eye.skywalking.agent.junction.SkyWalkingEnhanceMatcher<T>.public matches( T ): boolean,matches( T ): boolean,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,3,1,0,0
