QualifiedName,Name,Complexity,Coupling,Size,Lack of Cohesion,CBO,RFC,SRFC,DIT,NOC,WMC,LOC,CMLOC,NOF,NOSF,NOM,NOSM,NORM,LCOM,LCAM,LTCC,ATFD,SI,Coverage,#(C&I),#C,#I,LOC,AC,EC,Abs,Ins,ND,WMC,Coverage,MCC,NBD,LOC,#Pa,#MC,#AF
apm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<Package>oracle.jdbc.driver,oracle.jdbc.driver,low,low,low,low,,,,,,0,13,,,,,,,,,,,,,1,1,0,13,0,0,0,1,0,0,,,,,,,
oracle.jdbc.driver.JDBCPrepareStatementWithArrayInterceptor,JDBCPrepareStatementWithArrayInterceptor,low,low,low,low,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,,,,,13,,,,,,0,,,,,,,
<Package>org.apache.skywalking.apm.agent,org.apache.skywalking.apm.agent,low,low,low,low,,,,,,0,72,,,,,,,,,,,,,2,2,0,72,0,0,0,1,0,0,,,,,,,
org.apache.skywalking.apm.agent.InstrumentDebuggingClass,InstrumentDebuggingClass,low,low,low,low,0,0,0,0,0,0,22,0,0,1,0,0,0,0,0,0,0,0,,,,,22,,,,,,0,,,,,,,
<Field>org.apache.skywalking.apm.agent.InstrumentDebuggingClass->INSTANCE,static final INSTANCE : InstrumentDebuggingClass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
org.apache.skywalking.apm.agent.SkyWalkingAgent,SkyWalkingAgent,low,low,low,low,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,,,,,50,,,,,,0,,,,,,,
<Anonymous> : Lorg.apache.skywalking.apm.agent.SkyWalkingAgent$2709;,Lorg.apache.skywalking.apm.agent.SkyWalkingAgent$2709;,low,low,low,low,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,,,,3,,,,,,0,,,,,,,
<Anonymous> : Lorg.apache.skywalking.apm.agent.SkyWalkingAgent$2963;,Lorg.apache.skywalking.apm.agent.SkyWalkingAgent$2963;,low,low,low,low,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,,,,,17,,,,,,0,,,,,,,
<Anonymous> : Lorg.apache.skywalking.apm.agent.SkyWalkingAgent$4303;,Lorg.apache.skywalking.apm.agent.SkyWalkingAgent$4303;,low,low,low,low,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,,,,,17,,,,,,0,,,,,,,
<Package>org.apache.skywalking.apm.agent.core.boot,org.apache.skywalking.apm.agent.core.boot,low,low,low,low,,,,,,18,94,,,,,,,,,,,,,5,4,1,94,0,0,0.2,1,0.2,18,,,,,,,
org.apache.skywalking.apm.agent.core.boot.AgentPackageNotFoundException,AgentPackageNotFoundException,low,low,low,low,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,,,,3,,,,,,0,,,,,,,
