"#","No","Issue Title","Issue Details","State","Labels","User name","created","Updated"
"","3802","2 Emoji not correctly displayed in compose","‼ and ⁉ Should be red and more bold⁉  ![screenshot_2015-07-26-11-34-29 01](https://cloud.githubusercontent.com/assets/5326916/8893270/a4f753de-338a-11e5-8f8f-669ad5906256.png)","closed","emoji,","McLoo","2015-07-26T09:38:17Z","2015-08-06T18:12:12Z"
"","4143","trim threads in the right direction","yup.","closed","","mcginty","2015-09-28T23:48:50Z","2015-09-28T23:59:33Z"
"","3437","Revert thumbnail null check for non image media","You might want to implement some check like ""is media present"", but for now this gets TS back to work!","closed","","McLoo","2015-06-16T15:19:54Z","2015-06-16T18:42:05Z"
"","4164","Recipient notification settings ignored for calls","Yes, they were for messages, but now at least 'ringtone' looks like it's for calls. - Not muting - Always default ringtone (which now really could be the one from Signal IOS). - No vibration","closed","","McLoo","2015-10-01T17:56:05Z","2018-04-02T22:00:04Z"
"","3837","fix EmojiTextView...","Yes, it really is this complicated.","closed","","mcginty","2015-07-29T18:27:37Z","2015-07-29T22:38:39Z"
"","3919","Messages sent with limited mobile data enabled won't send on app reopening","Yeah I know, the subject makes no sense. I blame the heat, okay?  Something I noticed today when I was out walking is that if I have TextSecure set to ""Limited mobile data"" so that TextSecure can't use the internet in the background, the messages sometimes won't send when I open the app again. Typically, this is how it happens: 1. I open the app and I write a message to someone. Any messages the person has written of course arrives meanwhile. 2. I ""send"" the message and I back out of the app, but the message isn't sent in time. 3. I open Puffin or whatever, and a minute later I open TextSecure again. The message is still ""sending"". 4. Here's where the problem shows. I sit there, waiting for the message to send. Half a minute passes, yet nothing. 5. I send another message, now both messages send without any problems whatsoever.  What should happen when I open the app is pretty obvious. The message should send, without me having to send another message.  Log while it's ""sending"" to no avail: https://gist.github.com/anonymous/2901e20eb9799c2bb182  Now I realize this might be confused with https://github.com/WhisperSystems/TextSecure/issues/3068 but it's not the same issue. The message never actually fails for me when I do the above. It simply keeps ""sending"" yet nothing happens.","closed","","Dyras","2015-08-09T14:18:45Z","2018-04-02T21:52:22Z"
"","3408","fix ""rough scaling"" bitmaps","wrote tests this time because untrust thyself  fixes #3347","closed","","mcginty","2015-06-12T05:33:47Z","2015-06-12T16:17:56Z"
"","4008","BOSH support?","wrong list.  sigh.","closed","","ghost","2015-09-02T00:30:31Z","2015-09-02T00:46:07Z"
"","3623","Landscape mode send button text not updated","Write text, switch send mode, go landscape ![screenshot_2015-07-11-23-19-58](https://cloud.githubusercontent.com/assets/5326916/8635469/e86453a0-2823-11e5-9f10-b95791c04a43.png) ![screenshot_2015-07-11-23-18-13](https://cloud.githubusercontent.com/assets/5326916/8635471/f13d8f00-2823-11e5-833f-27cc1987b936.png)  . **Only updates when there is no input on the compose field, or input got deleted afterwards**","closed","","McLoo","2015-07-11T21:24:19Z","2015-07-13T20:02:43Z"
"","4071","Check whether new phone numbers can receive encrypted texts","Would it be possible, if I start a message to a new phone number, to check whether that number can receive push messages and perform the handshake prior to the first message? I recently added a contact I knew would have TextSecure, so I was able to verify that this either isn't supported or isn't working.  I have a suspicion that this might not easily work with the [contact discovery](https://whispersystems.org/blog/contact-discovery/) mechanism, and if so, I can continue creating contacts before texting them.","closed","","effigies","2015-09-13T22:43:33Z","2015-09-23T19:02:08Z"
"","3590","Support flash in direct capture mode","Would be good to have a button to set the flash during direct capture to enabled/disabled/auto","closed","feature,","agrajaghh","2015-07-09T19:46:44Z","2018-04-02T21:42:14Z"
"","3655","stop using PopupWindow for emoji. too many android bugs.","works on gb and lp","closed","","mcginty","2015-07-13T22:46:45Z","2015-07-13T23:41:41Z"
"","3392","gingerbread conversation list missing reaction to tap","with the ripple change, it looks like holding on a conversation list item doesn't change its color any more. there should be an indicator.","closed","ux,","mcginty","2015-06-11T18:16:57Z","2015-07-02T15:58:48Z"
"","3893","repeating notification 2 times - but it does never stop","With the current version 2.24.1, and also with the previous version, I noticed, that on my two different devices the repeating alarm (I set this to ""repeat two times"") never stops.  Because the support forum has no related entries, I regard this as a bug and report it here.  First device: Android 4.0.3, second device: Android 4.0.4.","closed","","Wikinaut","2015-08-05T21:26:49Z","2015-08-06T17:15:29Z"
"","3337","Notification sound incorrectly plays when viewing a conversation from recipient","With my Nexus 6 (Android 5.1) on priority mode TextSecure does not play notification sounds. This is correct.  However, with my phone set up as above, if I send a message to someone and remain viewing that conversation, TextSecure will incorrectly play the notification sound if that person replies to me.","closed","","Spakman","2015-06-04T09:16:04Z","2016-09-01T19:31:23Z"
"","4101","Emoji Selection missing with system emoji (2.27)","With enabled system emoji, the shortcut to the emoji selection in the bottom left corner is removed.  My keyboards (Swype and Google Keyboard) show an emoji button instead the normal enter button, which I used for line breaks. This is not possible anymore with enabled system emoji.  Please don't change the behavior of the layout with enabled system emoji, it's just irritating.","closed","","Ahoipirat","2015-09-21T22:39:57Z","2015-09-22T16:10:09Z"
"","4264","Notifications from Pebble no longer possible","With a recent version (I'm currently on 3.0.3) Signal is ""greyed out"" in the Pebble app. I have not updated the Pebble app in a while which leads me to believe this has to be related to a change in Signal. Did you do anything that prevents third-party apps from accessing the notifications of Signal? Would you consider reverting or making said protection optional?","closed","","tribut","2015-10-17T16:53:42Z","2015-10-18T12:08:40Z"
"","3725","""Send TextSecure Message"" inside enter button too long (Google Keyboard)","With ""enter key sends"" enabled, the enter key of the google keyboard displays ""Send TextSecure message"" which looks really weird. I'm not sure if we can fix this without changing the landscape send button..  ![screenshot_16-04-06](https://cloud.githubusercontent.com/assets/5296073/8766241/f67afb3a-2e2f-11e5-9348-cf44101df45e.png)  Tested on a N4 with 5.1.1 and TS 2.23.0","closed","","agrajaghh","2015-07-19T14:10:06Z","2015-07-21T19:07:52Z"
"","4149","Differences between the APK offered in Playstore and the Sourcecode on Github","Why is there a file called ""gtm_analytics"" in the /res/raw folder of the APK but there is no such file in the source on github. This file looks like a container file for Google Tag Manager. What's the purpose of using GTM in Textsecure and why is this file only in the APK and not on github?","closed","","xamor","2015-09-30T15:10:24Z","2015-10-01T18:58:51Z"
"","3608","fix direct capture control view placement","While I was never able to reproduce, I have a strong suspicion this may fix #3583. @agrajaghh if you want to report back and have the time to run this :).","closed","","mcginty","2015-07-10T23:54:51Z","2015-07-11T09:04:47Z"
