"#","No","Issue Title","Issue Details","State","Labels","User name","created","Updated"
"","1764","Enable sender to delete own messages from all parties in the conversation","While I think this is an important feature, some people were opposed to self-destructing messages. I would take it even further and do similar to [Gliph](https://gli.ph/), where anyone in a conversation can delete messages. A risk with Gliph is their effectively central control*, which the TextSecure team seems to have solved very elegantly.  _* Gliph is quite [transparent](https://gli.ph/privacy.html), and have what they call [Lockdown™ Privacy Protection](https://blog.gli.ph/2012/05/31/introducing-gliph-app-version-1-2-powerful-privacy-for-iphone/). Unfortunately, the fact remains they are in control of the infrastructure and could theoretically capture the passphrase next time you login. Meaning we have to trust them._  > Messages I send other people should disappear on my terms. The sender should have control over her messages, as she's the one providing the content after all.  Without much insight into the project, I'd like to share my ideas. Let's hope they are of value. # Scenarios to relate with  Imagine two journalists discussing some political issue over TextSecure, and one of them loses track of their phone. Say this journalist didn't care immensely and neglected security in a way that his messages are now available to read for anyone in possession of his phone. If the journalist's friend could trigger the phone to delete sensitive messages—provided the phone can reach the Internet—they could rest more peacefully.  **In case you are not a top secret agent**, something easier to relate to may be sending a message to the wrong person. If you realize you've sexted your family like around 10% in a [poll by Recombu](http://recombu.com/mobile/news/half-of-uk-adults-have-sent-a-sext-one-in-10-to-the-wrong-person_M17564.html) have you may want to have an undo button. (how do people accidentally do this?) # Friends and collegues  I care quite a bit about privacy and security, and although I've managed to make my friends care more than expected, there is a limit to what they'll endure. This suggestion would ease the pressure on them to control their habits. They won't use a very secure password if they have to enter it every time to read messages. # Implementation complicatedness  Putting this idea together into the product can get complicated. Should the recipient have the ability to disallow deletion? As he could already be in possession of the information, one could argue it may already be captured and that my idea gives a false sense of security to the sender. I think it's an issue with little impact to an otherwise very valuable feature. Anyway, if we let the recipient prevent such deletion, I would like the sender to be aware of that fact before submitting her message.  If the recipient doesn't agree with letting the sender delete their messages or having them expire, he could disable it for future messages. The recipient may have the ability to disallow deletion/expiry for (specific or all) senders, but the sender must always be aware of which before sending.  **All this causes complexity and new UI considerations. It appears we do not want more of that. Everyone should easily understand their message's fate.** # Solution - Let the sender delete it's own contribution to the conversation. - Allow manual locking of messages as suggested in #283.  That's a simple and in my opinion reasonable compromise resulting in an easy to understand model avoiding added complexity. ## Model  Messages are owned by the sender, who can always delete them, but is also aware that removal from other devices (or human memories) cannot be guaranteed. ## User interface  We have the following alternatives for deletion.  Delete message or conversation... - ...from current device only. - ...from current device and send deletion notice for own messages to other parties. - ...from current device and send deletion notice to other parties, regardless of sender. - ...from other parties only, by sending a deletion notice. ## Potential problems  How can messages be kept track of, and could this kind of ownership break the plausible deniability we currently enjoy? Would the ability to delete any message in a conversation solve that problem? ## Future considerations ### Let any party delete any message  People should manage to handle this as a social issue, where if someone disrespects the wishes of message retention, they're reprimanded appropriately. TextSecure has no role in this. ### Expiring messages (requires UI modification)  Perhaps auto-deletion after recipient specified time period suits better for TextSecure. # Related issues #175, #176, #226, #283.  I love that Signal was just released for iPhone!","closed","feature,","jooize","2014-07-30T22:45:40Z","2015-03-16T12:55:43Z"
"","1477","Wrong thumbnail in originating conversation when sending image","While confirming issue #1476 and doing some tests, I deleted the conversation thread between two phones in both phones (Moto G and Nexus 4). Then, from the Nexus 4, I attempted to attach an image to send it to the Moto G. The image is sent and received correctly, but the preview thumbnail in the originating Nexus 4 phone (and only there!) is from a different image that I had received or sent previously in the deleted thread. From the Moto G I don't see the same problem.","closed","","rg3","2014-05-10T19:14:02Z","2014-10-16T09:54:20Z"
"","1719","Changelog","Where can I find the changelog for the latest updates ? The playstore page isn't displaying it.","closed","","ghost","2014-07-21T07:42:27Z","2014-07-22T08:22:00Z"
"","1386","Sent images are seeming being downgraded in quality","Whenever someone, who is also a text secure user, sends me or I send them an image the image is downgraded in quality.","closed","","Fuzion24","2014-04-18T01:46:15Z","2014-04-18T14:30:50Z"
"","2220","MMS Download Failure (non-AT&T)","Whenever I receive a multimedia message, attempting to download results in displaying ""Connecting to MMS server..."" for a few seconds, then reverting back to the ""Download"" button. In other words, I can't download multimedia. When connected to Wi-Fi, the ""Connecting to MMS server..."" message stays on-screen for over a minute; with Wi-Fi off it only lasts ~10s. I've tried restarting the phone, enabling manual MMS, even uninstalling and reinstalling the app--no dice.  Device info: Motorola Droid Mini, stock Android 4.4.4, TextSecure 2.3.3  App state: Push registered, MMS preferences automatic (or manual: MMSC URL http://mms.vtext.com/servlets/mms), incoming and outgoing SMS fully enabled  Debug log: https://gist.github.com/aaf18938b646e5326500  I realize that there have been a couple threads about this in the past, but none of them match my issue exactly, and none of the proposed solutions have helped. Would really appreciate it if someone could take a look!","closed","mms,","dawsome","2014-12-15T05:20:12Z","2018-04-02T21:30:14Z"
"","1417","Sent timestamp on received SMS messages wrong by 1 hour.","Whenever I receive a message through SMS the ""Sent"" timestamp is wrong. PUSH messages do not have this issue.  E.g. Transport: SMS Sent: Tue Apr 22, 2014 at 06:45:22 PM EDT Received: Tue Apr 22, 2014 at 07:45:45:23 PM EDT  The Sent timestamp should be for 07:45:22, not 06:45:22. This is not an issue of displaying sent time versus received time as in https://github.com/WhisperSystems/TextSecure/issues/968.","closed","","kb100","2014-04-23T03:42:31Z","2014-04-24T02:29:03Z"
"","1800","HTTP access to send/view messages","When working at the computer it can be annoying to switch back and forth between your phone, especially when there are active group messages. I would very much like a HTTP interface on the device (perhaps wifi only, only on whitelisted networks) that allows viewing of all messages and ability to send new ones, protected by the decryption password.  Something like MightyText but not on a central server.","closed","","MatthewWilkes","2014-08-06T12:04:51Z","2014-08-06T16:00:34Z"
"","1494","Own membership in group conversations displayed as phone number","When viewing the members of a group conversation, the own membership is displayed as the phone number. To avoid confusion, I think it would be better to use a static identifier (for example ""Me""), like this:  Group Members: John Doe, John Wayne, Me","closed","","fabiannagel","2014-05-14T21:01:46Z","2014-11-28T18:48:13Z"
"","1346","Feature request: Add to contacts menu option","When viewing an SMS thread, the menu options I see are ""Add attachment"", ""Add contact info"" and ""Delete thread"".  Please if possible add a new menu option to add the sender's number to Contacts.  It would be super-smart if this option were only visible if the sender's number is not already in Contacts.  Apart from that: thank you, this is an outstanding app.","closed","","radfast","2014-04-12T12:01:11Z","2014-04-12T16:19:19Z"
"","2117","Menu button crashes TextSecure","When using the TextSecure menu button, crashes TextSecure 2.3.0. Options menu does not work My System: Jelly Bean 4.1.2 (LG)  (TextSecure 2.2.0 worked)   regards Timo","closed","","spinnenbein","2014-11-22T18:50:09Z","2014-11-23T16:09:15Z"
