QualifiedName,Name,Complexity,Coupling,Size,Lack of Cohesion,CBO,RFC,SRFC,DIT,NOC,WMC,LOC,CMLOC,NOF,NOSF,NOM,NOSM,NORM,LCOM,LCAM,LTCC,ATFD,SI,Coverage,#(C&I),#C,#I,LOC,AC,EC,Abs,Ins,ND,WMC,Coverage,MCC,NBD,LOC,#Pa,#MC,#AF
checkstyle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<Package>com.puppycrawl.tools.checkstyle,com.puppycrawl.tools.checkstyle,medium-high,high,very-high,low,,,,,,719,3212,,,,,,,,,,,,,49,42,7,3212,16,24,0.143,0.6,0.257,719,,,,,,,
com.puppycrawl.tools.checkstyle.AstTreeStringPrinter,AstTreeStringPrinter,high,low-medium,low-medium,low-medium,9,187,27,1,0,20,85,80,0,4,1,10,0,0.833,0.652,1,0,0,,,,,85,,,,,,20,,,,,,,
<Method>com.puppycrawl.tools.checkstyle.AstTreeStringPrinter.private AstTreeStringPrinter( ): void,AstTreeStringPrinter( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0
<Method>com.puppycrawl.tools.checkstyle.AstTreeStringPrinter.private static escapeAllControlChars( String ): String,static escapeAllControlChars( String ): String,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,1,6,3
<Method>com.puppycrawl.tools.checkstyle.AstTreeStringPrinter.private static getIndentation( DetailAST ): String,static getIndentation( DetailAST ): String,low,low,low,low,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,17,1,10,0
<Method>com.puppycrawl.tools.checkstyle.AstTreeStringPrinter.private static getNodeInfo( DetailAST ): String,static getNodeInfo( DetailAST ): String,low,low,low,low,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,1,6,0
<Method>com.puppycrawl.tools.checkstyle.AstTreeStringPrinter.private static parseAndPrintJavadocTree( DetailAST ): String,static parseAndPrintJavadocTree( DetailAST ): String,low,low,low,low,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,8,1,6,0
"<Method>com.puppycrawl.tools.checkstyle.AstTreeStringPrinter.public static printAst( FileText, Options ): String","static printAst( FileText, Options ): String",low,low-medium,low,low,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,2,2,0
<Method>com.puppycrawl.tools.checkstyle.AstTreeStringPrinter.public static printBranch( DetailAST ): String,static printBranch( DetailAST ): String,low,low,low,low,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,10,1,4,1
"<Method>com.puppycrawl.tools.checkstyle.AstTreeStringPrinter.public static printFileAst( File, Options ): String","static printFileAst( File, Options ): String",low,low,low,low,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,2,2,0
<Method>com.puppycrawl.tools.checkstyle.AstTreeStringPrinter.private static printJavaAndJavadocTree( DetailAST ): String,static printJavaAndJavadocTree( DetailAST ): String,low,low,low,low,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,15,1,15,1
<Method>com.puppycrawl.tools.checkstyle.AstTreeStringPrinter.public static printJavaAndJavadocTree( File ): String,static printJavaAndJavadocTree( File ): String,low,low,low,low,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,1,2,0
<Method>com.puppycrawl.tools.checkstyle.AstTreeStringPrinter.private static printTree( DetailAST ): String,static printTree( DetailAST ): String,low,low,low,low,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,10,1,10,1
<Field>com.puppycrawl.tools.checkstyle.AstTreeStringPrinter->LINE_SEPARATOR,static final LINE_SEPARATOR : String,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
