QualifiedName,Name,Complexity,Coupling,Size,Lack of Cohesion,CBO,RFC,SRFC,DIT,NOC,WMC,LOC,CMLOC,NOF,NOSF,NOM,NOSM,NORM,LCOM,LCAM,LTCC,ATFD,SI,Coverage,#(C&I),#C,#I,LOC,AC,EC,Abs,Ins,ND,WMC,Coverage,MCC,NBD,LOC,#Pa,#MC,#AF
<Method>com.puppycrawl.tools.checkstyle.Checker.public removeFilter( Filter ): void,removeFilter( Filter ): void,low,low,low,low,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,1,1,1
<Method>com.puppycrawl.tools.checkstyle.Checker.public removeListener( AuditListener ): void,removeListener( AuditListener ): void,low,low,low,low,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,1,1,1
<Method>com.puppycrawl.tools.checkstyle.Checker.public setBasedir( String ): void,setBasedir( String ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,1,0,1
<Method>com.puppycrawl.tools.checkstyle.Checker.public setCharset( String ): void,setCharset( String ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,6,1,1,1
<Method>com.puppycrawl.tools.checkstyle.Checker.public setLocaleCountry( String ): void,setLocaleCountry( String ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,1,0,1
<Method>com.puppycrawl.tools.checkstyle.Checker.public setLocaleLanguage( String ): void,setLocaleLanguage( String ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,1,0,1
<Method>com.puppycrawl.tools.checkstyle.Checker.public setModuleFactory( ModuleFactory ): void,setModuleFactory( ModuleFactory ): void,low,low,low,low,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,1,0,1
<Method>com.puppycrawl.tools.checkstyle.Checker.protected setupChild( Configuration ): void,setupChild( Configuration ): void,low,low-medium,low,low,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3,27,1,9,2
<Field>com.puppycrawl.tools.checkstyle.Checker->basedir,basedir : String,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<Field>com.puppycrawl.tools.checkstyle.Checker->charset,charset : String,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
