QualifiedName,Name,Complexity,Coupling,Size,Lack of Cohesion,CBO,RFC,SRFC,DIT,NOC,WMC,LOC,CMLOC,NOF,NOSF,NOM,NOSM,NORM,LCOM,LCAM,LTCC,ATFD,SI,Coverage,#(C&I),#C,#I,LOC,AC,EC,Abs,Ins,ND,WMC,Coverage,MCC,NBD,LOC,#Pa,#MC,#AF
checkstyle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<Package>com.puppycrawl.tools.checkstyle,com.puppycrawl.tools.checkstyle,low-medium,medium-high,medium-high,low,,,,,,489,2331,,,,,,,,,,,,,27,24,3,2331,5,16,0.111,0.762,0.127,489,,,,,,,
com.puppycrawl.tools.checkstyle.AstTreeStringPrinter,AstTreeStringPrinter,high,medium-high,low-medium,low-medium,11,159,35,1,0,22,93,88,0,4,1,11,0,0.875,0.625,1,2,0,,,,,93,,,,,,22,,,,,,,
<Method>com.puppycrawl.tools.checkstyle.AstTreeStringPrinter.private AstTreeStringPrinter( ): void,AstTreeStringPrinter( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0
<Method>com.puppycrawl.tools.checkstyle.AstTreeStringPrinter.private static excapeAllControlChars( String ): String,static excapeAllControlChars( String ): String,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,1,6,3
<Method>com.puppycrawl.tools.checkstyle.AstTreeStringPrinter.private static getIndentation( DetailAST ): String,static getIndentation( DetailAST ): String,low,low,low,low,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,17,1,10,0
<Method>com.puppycrawl.tools.checkstyle.AstTreeStringPrinter.private static getNodeInfo( DetailAST ): String,static getNodeInfo( DetailAST ): String,low,low,low,low,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,1,6,0
<Method>com.puppycrawl.tools.checkstyle.AstTreeStringPrinter.private static parseAndPrintJavadocTree( DetailAST ): String,static parseAndPrintJavadocTree( DetailAST ): String,low,low,low,low,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,8,1,6,0
"<Method>com.puppycrawl.tools.checkstyle.AstTreeStringPrinter.private static parseFile( File, boolean ): DetailAST","static parseFile( File, boolean ): DetailAST",low,low,low,low,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,5,2,3,0
"<Method>com.puppycrawl.tools.checkstyle.AstTreeStringPrinter.private static parseFileText( FileText, boolean ): DetailAST","static parseFileText( FileText, boolean ): DetailAST",low,low-medium,low,low,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,15,2,7,0
