"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","example","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\2 junit5 yearly versions\junit5-2018-1\junit5-4b3b36e1b2b2069600f2fcf8fcf5385b0278b2c1\documentation\src\test\java\example\AssertionsDemo.java","3","86","Potential violation of Law of Demeter (object not created locally)","Design","LawOfDemeter"
"1","example","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\2 junit5 yearly versions\junit5-2018-1\junit5-4b3b36e1b2b2069600f2fcf8fcf5385b0278b2c1\documentation\src\test\java\example\DynamicTestsDemo.java","3","80","Potential violation of Law of Demeter (method chain calls)","Design","LawOfDemeter"
"2","example","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\2 junit5 yearly versions\junit5-2018-1\junit5-4b3b36e1b2b2069600f2fcf8fcf5385b0278b2c1\documentation\src\test\java\example\DynamicTestsDemo.java","3","94","Potential violation of Law of Demeter (method chain calls)","Design","LawOfDemeter"
"3","example","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\2 junit5 yearly versions\junit5-2018-1\junit5-4b3b36e1b2b2069600f2fcf8fcf5385b0278b2c1\documentation\src\test\java\example\DynamicTestsDemo.java","3","107","Potential violation of Law of Demeter (method chain calls)","Design","LawOfDemeter"
"4","example","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\2 junit5 yearly versions\junit5-2018-1\junit5-4b3b36e1b2b2069600f2fcf8fcf5385b0278b2c1\documentation\src\test\java\example\DynamicTestsDemo.java","3","107","Potential violation of Law of Demeter (method chain calls)","Design","LawOfDemeter"
"5","example","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\2 junit5 yearly versions\junit5-2018-1\junit5-4b3b36e1b2b2069600f2fcf8fcf5385b0278b2c1\documentation\src\test\java\example\DynamicTestsDemo.java","3","157","Potential violation of Law of Demeter (method chain calls)","Design","LawOfDemeter"
"1","example","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\2 junit5 yearly versions\junit5-2018-1\junit5-4b3b36e1b2b2069600f2fcf8fcf5385b0278b2c1\documentation\src\test\java\example\JUnit4Tests.java","3","18","A method/constructor should not explicitly throw java.lang.Exception","Design","SignatureDeclareThrowsException"
"1","example","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\2 junit5 yearly versions\junit5-2018-1\junit5-4b3b36e1b2b2069600f2fcf8fcf5385b0278b2c1\documentation\src\test\java\example\ParameterizedTestDemo.java","3","11","A high number of imports can indicate a high degree of coupling within an object.","Design","ExcessiveImports"
"2","example","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\2 junit5 yearly versions\junit5-2018-1\junit5-4b3b36e1b2b2069600f2fcf8fcf5385b0278b2c1\documentation\src\test\java\example\ParameterizedTestDemo.java","3","48","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"3","example","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\2 junit5 yearly versions\junit5-2018-1\junit5-4b3b36e1b2b2069600f2fcf8fcf5385b0278b2c1\documentation\src\test\java\example\ParameterizedTestDemo.java","3","88","Potential violation of Law of Demeter (method chain calls)","Design","LawOfDemeter"
"4","example","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\2 junit5 yearly versions\junit5-2018-1\junit5-4b3b36e1b2b2069600f2fcf8fcf5385b0278b2c1\documentation\src\test\java\example\ParameterizedTestDemo.java","3","96","Potential violation of Law of Demeter (method chain calls)","Design","LawOfDemeter"
"5","example","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\2 junit5 yearly versions\junit5-2018-1\junit5-4b3b36e1b2b2069600f2fcf8fcf5385b0278b2c1\documentation\src\test\java\example\ParameterizedTestDemo.java","3","97","Potential violation of Law of Demeter (method chain calls)","Design","LawOfDemeter"
"6","example","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\2 junit5 yearly versions\junit5-2018-1\junit5-4b3b36e1b2b2069600f2fcf8fcf5385b0278b2c1\documentation\src\test\java\example\ParameterizedTestDemo.java","3","106","Potential violation of Law of Demeter (object not created locally)","Design","LawOfDemeter"
"7","example","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\2 junit5 yearly versions\junit5-2018-1\junit5-4b3b36e1b2b2069600f2fcf8fcf5385b0278b2c1\documentation\src\test\java\example\ParameterizedTestDemo.java","3","106","Potential violation of Law of Demeter (object not created locally)","Design","LawOfDemeter"
"8","example","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\2 junit5 yearly versions\junit5-2018-1\junit5-4b3b36e1b2b2069600f2fcf8fcf5385b0278b2c1\documentation\src\test\java\example\ParameterizedTestDemo.java","3","107","Potential violation of Law of Demeter (object not created locally)","Design","LawOfDemeter"
"9","example","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\2 junit5 yearly versions\junit5-2018-1\junit5-4b3b36e1b2b2069600f2fcf8fcf5385b0278b2c1\documentation\src\test\java\example\ParameterizedTestDemo.java","3","131","Potential violation of Law of Demeter (method chain calls)","Design","LawOfDemeter"
"10","example","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\2 junit5 yearly versions\junit5-2018-1\junit5-4b3b36e1b2b2069600f2fcf8fcf5385b0278b2c1\documentation\src\test\java\example\ParameterizedTestDemo.java","3","183","Potential violation of Law of Demeter (method chain calls)","Design","LawOfDemeter"
"1","example","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\2 junit5 yearly versions\junit5-2018-1\junit5-4b3b36e1b2b2069600f2fcf8fcf5385b0278b2c1\documentation\src\test\java\example\Person.java","3","13","The class 'Person' has a Modified Cyclomatic Complexity of 2 (Highest = 10).","Design","ModifiedCyclomaticComplexity"
"2","example","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\2 junit5 yearly versions\junit5-2018-1\junit5-4b3b36e1b2b2069600f2fcf8fcf5385b0278b2c1\documentation\src\test\java\example\Person.java","3","13","The class 'Person' has a Standard Cyclomatic Complexity of 2 (Highest = 10).","Design","StdCyclomaticComplexity"
"3","example","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\2 junit5 yearly versions\junit5-2018-1\junit5-4b3b36e1b2b2069600f2fcf8fcf5385b0278b2c1\documentation\src\test\java\example\Person.java","3","50","The method 'equals' has a Modified Cyclomatic Complexity of 10.","Design","ModifiedCyclomaticComplexity"
"4","example","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\2 junit5 yearly versions\junit5-2018-1\junit5-4b3b36e1b2b2069600f2fcf8fcf5385b0278b2c1\documentation\src\test\java\example\Person.java","3","50","The method 'equals' has a Standard Cyclomatic Complexity of 10.","Design","StdCyclomaticComplexity"
"5","example","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\2 junit5 yearly versions\junit5-2018-1\junit5-4b3b36e1b2b2069600f2fcf8fcf5385b0278b2c1\documentation\src\test\java\example\Person.java","3","50","The method 'equals(Object)' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"1","example","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\2 junit5 yearly versions\junit5-2018-1\junit5-4b3b36e1b2b2069600f2fcf8fcf5385b0278b2c1\documentation\src\test\java\example\RepeatedTestsDemo.java","3","26","Private field 'logger' could be made final; it is only initialized in the declaration or constructor.","Design","ImmutableField"
"2","example","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\2 junit5 yearly versions\junit5-2018-1\junit5-4b3b36e1b2b2069600f2fcf8fcf5385b0278b2c1\documentation\src\test\java\example\RepeatedTestsDemo.java","3","35","Potential violation of Law of Demeter (method chain calls)","Design","LawOfDemeter"
"3","example","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\2 junit5 yearly versions\junit5-2018-1\junit5-4b3b36e1b2b2069600f2fcf8fcf5385b0278b2c1\documentation\src\test\java\example\RepeatedTestsDemo.java","3","35","Potential violation of Law of Demeter (method chain calls)","Design","LawOfDemeter"
"1","example","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\2 junit5 yearly versions\junit5-2018-1\junit5-4b3b36e1b2b2069600f2fcf8fcf5385b0278b2c1\documentation\src\test\java\example\TestInfoDemo.java","3","33","Potential violation of Law of Demeter (object not created locally)","Design","LawOfDemeter"
"2","example","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\2 junit5 yearly versions\junit5-2018-1\junit5-4b3b36e1b2b2069600f2fcf8fcf5385b0278b2c1\documentation\src\test\java\example\TestInfoDemo.java","3","33","Potential violation of Law of Demeter (object not created locally)","Design","LawOfDemeter"
"3","example","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\2 junit5 yearly versions\junit5-2018-1\junit5-4b3b36e1b2b2069600f2fcf8fcf5385b0278b2c1\documentation\src\test\java\example\TestInfoDemo.java","3","41","Potential violation of Law of Demeter (method chain calls)","Design","LawOfDemeter"
"1","example","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\2 junit5 yearly versions\junit5-2018-1\junit5-4b3b36e1b2b2069600f2fcf8fcf5385b0278b2c1\documentation\src\test\java\example\TestTemplateDemo.java","3","60","Potential violation of Law of Demeter (method chain calls)","Design","LawOfDemeter"
"2","example","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\2 junit5 yearly versions\junit5-2018-1\junit5-4b3b36e1b2b2069600f2fcf8fcf5385b0278b2c1\documentation\src\test\java\example\TestTemplateDemo.java","3","60","Potential violation of Law of Demeter (method chain calls)","Design","LawOfDemeter"
"1","example","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\2 junit5 yearly versions\junit5-2018-1\junit5-4b3b36e1b2b2069600f2fcf8fcf5385b0278b2c1\documentation\src\test\java\example\UsingTheLauncherDemo.java","3","37","Potential violation of Law of Demeter (method chain calls)","Design","LawOfDemeter"
"2","example","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\2 junit5 yearly versions\junit5-2018-1\junit5-4b3b36e1b2b2069600f2fcf8fcf5385b0278b2c1\documentation\src\test\java\example\UsingTheLauncherDemo.java","3","37","Potential violation of Law of Demeter (method chain calls)","Design","LawOfDemeter"
"3","example","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\2 junit5 yearly versions\junit5-2018-1\junit5-4b3b36e1b2b2069600f2fcf8fcf5385b0278b2c1\documentation\src\test\java\example\UsingTheLauncherDemo.java","3","37","Potential violation of Law of Demeter (method chain calls)","Design","LawOfDemeter"
"4","example","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\2 junit5 yearly versions\junit5-2018-1\junit5-4b3b36e1b2b2069600f2fcf8fcf5385b0278b2c1\documentation\src\test\java\example\UsingTheLauncherDemo.java","3","58","Potential violation of Law of Demeter (method chain calls)","Design","LawOfDemeter"
"5","example","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\2 junit5 yearly versions\junit5-2018-1\junit5-4b3b36e1b2b2069600f2fcf8fcf5385b0278b2c1\documentation\src\test\java\example\UsingTheLauncherDemo.java","3","58","Potential violation of Law of Demeter (method chain calls)","Design","LawOfDemeter"
"6","example","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\2 junit5 yearly versions\junit5-2018-1\junit5-4b3b36e1b2b2069600f2fcf8fcf5385b0278b2c1\documentation\src\test\java\example\UsingTheLauncherDemo.java","3","58","Potential violation of Law of Demeter (method chain calls)","Design","LawOfDemeter"
"1","example.defaultmethods","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\2 junit5 yearly versions\junit5-2018-1\junit5-4b3b36e1b2b2069600f2fcf8fcf5385b0278b2c1\documentation\src\test\java\example\defaultmethods\ComparableContract.java","3","26","Potential violation of Law of Demeter (object not created locally)","Design","LawOfDemeter"
"2","example.defaultmethods","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\2 junit5 yearly versions\junit5-2018-1\junit5-4b3b36e1b2b2069600f2fcf8fcf5385b0278b2c1\documentation\src\test\java\example\defaultmethods\ComparableContract.java","3","33","Potential violation of Law of Demeter (object not created locally)","Design","LawOfDemeter"
"3","example.defaultmethods","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\2 junit5 yearly versions\junit5-2018-1\junit5-4b3b36e1b2b2069600f2fcf8fcf5385b0278b2c1\documentation\src\test\java\example\defaultmethods\ComparableContract.java","3","40","Potential violation of Law of Demeter (object not created locally)","Design","LawOfDemeter"
"1","example.defaultmethods","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\2 junit5 yearly versions\junit5-2018-1\junit5-4b3b36e1b2b2069600f2fcf8fcf5385b0278b2c1\documentation\src\test\java\example\defaultmethods\EqualsContract.java","3","33","Potential violation of Law of Demeter (object not created locally)","Design","LawOfDemeter"
"1","example.exception","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\2 junit5 yearly versions\junit5-2018-1\junit5-4b3b36e1b2b2069600f2fcf8fcf5385b0278b2c1\documentation\src\test\java\example\exception\IgnoreIOExceptionTests.java","1","31","Avoid throwing raw exception types.","Design","AvoidThrowingRawExceptionTypes"
"1","example.timing","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\2 junit5 yearly versions\junit5-2018-1\junit5-4b3b36e1b2b2069600f2fcf8fcf5385b0278b2c1\documentation\src\test\java\example\timing\TimingExtension.java","3","39","Potential violation of Law of Demeter (method chain calls)","Design","LawOfDemeter"
"2","example.timing","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\2 junit5 yearly versions\junit5-2018-1\junit5-4b3b36e1b2b2069600f2fcf8fcf5385b0278b2c1\documentation\src\test\java\example\timing\TimingExtension.java","3","45","Potential violation of Law of Demeter (method chain calls)","Design","LawOfDemeter"
"1","example.timing","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\2 junit5 yearly versions\junit5-2018-1\junit5-4b3b36e1b2b2069600f2fcf8fcf5385b0278b2c1\documentation\src\test\java\example\timing\TimingExtensionTests.java","3","26","A method/constructor should not explicitly throw java.lang.Exception","Design","SignatureDeclareThrowsException"
"2","example.timing","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\2 junit5 yearly versions\junit5-2018-1\junit5-4b3b36e1b2b2069600f2fcf8fcf5385b0278b2c1\documentation\src\test\java\example\timing\TimingExtensionTests.java","3","31","A method/constructor should not explicitly throw java.lang.Exception","Design","SignatureDeclareThrowsException"
"1","extensions","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\2 junit5 yearly versions\junit5-2018-1\junit5-4b3b36e1b2b2069600f2fcf8fcf5385b0278b2c1\documentation\src\test\java\extensions\ExpectToFail.java","3","38","Potential violation of Law of Demeter (method chain calls)","Design","LawOfDemeter"
"2","extensions","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\2 junit5 yearly versions\junit5-2018-1\junit5-4b3b36e1b2b2069600f2fcf8fcf5385b0278b2c1\documentation\src\test\java\extensions\ExpectToFail.java","3","43","Potential violation of Law of Demeter (method chain calls)","Design","LawOfDemeter"
"1","org.junit.jupiter.api","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\2 junit5 yearly versions\junit5-2018-1\junit5-4b3b36e1b2b2069600f2fcf8fcf5385b0278b2c1\junit-jupiter-api\src\main\java\org\junit\jupiter\api\AssertAll.java","1","30","A class which only has private constructors should be final","Design","ClassWithOnlyPrivateConstructorsShouldBeFinal"
"2","org.junit.jupiter.api","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\2 junit5 yearly versions\junit5-2018-1\junit5-4b3b36e1b2b2069600f2fcf8fcf5385b0278b2c1\junit-jupiter-api\src\main\java\org\junit\jupiter\api\AssertAll.java","3","66","Potential violation of Law of Demeter (method chain calls)","Design","LawOfDemeter"
"1","org.junit.jupiter.api","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\2 junit5 yearly versions\junit5-2018-1\junit5-4b3b36e1b2b2069600f2fcf8fcf5385b0278b2c1\junit-jupiter-api\src\main\java\org\junit\jupiter\api\AssertArrayEquals.java","1","31","A class which only has private constructors should be final","Design","ClassWithOnlyPrivateConstructorsShouldBeFinal"
"2","org.junit.jupiter.api","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\2 junit5 yearly versions\junit5-2018-1\junit5-4b3b36e1b2b2069600f2fcf8fcf5385b0278b2c1\junit-jupiter-api\src\main\java\org\junit\jupiter\api\AssertArrayEquals.java","3","31","Possible God Class (WMC=112, ATFD=55, TCC=0.000%)","Design","GodClass"
"3","org.junit.jupiter.api","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\2 junit5 yearly versions\junit5-2018-1\junit5-4b3b36e1b2b2069600f2fcf8fcf5385b0278b2c1\junit-jupiter-api\src\main\java\org\junit\jupiter\api\AssertArrayEquals.java","3","31","The class 'AssertArrayEquals' has a Modified Cyclomatic Complexity of 2 (Highest = 13).","Design","ModifiedCyclomaticComplexity"
"4","org.junit.jupiter.api","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\2 junit5 yearly versions\junit5-2018-1\junit5-4b3b36e1b2b2069600f2fcf8fcf5385b0278b2c1\junit-jupiter-api\src\main\java\org\junit\jupiter\api\AssertArrayEquals.java","3","31","The class 'AssertArrayEquals' has a Standard Cyclomatic Complexity of 2 (Highest = 13).","Design","StdCyclomaticComplexity"
