"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","example","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\2 junit5 yearly versions\junit5-2017-1\junit5-73f3eeb436e78226f19554f2c2b5dab63e103670\documentation\src\test\java\example\AssertionsDemo.java","3","55","Potential violation of Law of Demeter (object not created locally)","Design","LawOfDemeter"
"1","example","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\2 junit5 yearly versions\junit5-2017-1\junit5-73f3eeb436e78226f19554f2c2b5dab63e103670\documentation\src\test\java\example\DynamicTestsDemo.java","3","76","Potential violation of Law of Demeter (method chain calls)","Design","LawOfDemeter"
"2","example","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\2 junit5 yearly versions\junit5-2017-1\junit5-73f3eeb436e78226f19554f2c2b5dab63e103670\documentation\src\test\java\example\DynamicTestsDemo.java","3","90","Potential violation of Law of Demeter (method chain calls)","Design","LawOfDemeter"
"3","example","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\2 junit5 yearly versions\junit5-2017-1\junit5-73f3eeb436e78226f19554f2c2b5dab63e103670\documentation\src\test\java\example\DynamicTestsDemo.java","3","103","Potential violation of Law of Demeter (method chain calls)","Design","LawOfDemeter"
"4","example","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\2 junit5 yearly versions\junit5-2017-1\junit5-73f3eeb436e78226f19554f2c2b5dab63e103670\documentation\src\test\java\example\DynamicTestsDemo.java","3","103","Potential violation of Law of Demeter (method chain calls)","Design","LawOfDemeter"
"1","example","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\2 junit5 yearly versions\junit5-2017-1\junit5-73f3eeb436e78226f19554f2c2b5dab63e103670\documentation\src\test\java\example\JUnit4Tests.java","3","18","A method/constructor should not explicitly throw java.lang.Exception","Design","SignatureDeclareThrowsException"
"1","example","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\2 junit5 yearly versions\junit5-2017-1\junit5-73f3eeb436e78226f19554f2c2b5dab63e103670\documentation\src\test\java\example\TestInfoDemo.java","3","28","Potential violation of Law of Demeter (object not created locally)","Design","LawOfDemeter"
"2","example","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\2 junit5 yearly versions\junit5-2017-1\junit5-73f3eeb436e78226f19554f2c2b5dab63e103670\documentation\src\test\java\example\TestInfoDemo.java","3","28","Potential violation of Law of Demeter (object not created locally)","Design","LawOfDemeter"
"3","example","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\2 junit5 yearly versions\junit5-2017-1\junit5-73f3eeb436e78226f19554f2c2b5dab63e103670\documentation\src\test\java\example\TestInfoDemo.java","3","36","Potential violation of Law of Demeter (method chain calls)","Design","LawOfDemeter"
"1","example","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\2 junit5 yearly versions\junit5-2017-1\junit5-73f3eeb436e78226f19554f2c2b5dab63e103670\documentation\src\test\java\example\UsingTheLauncherDemo.java","3","38","Potential violation of Law of Demeter (method chain calls)","Design","LawOfDemeter"
"2","example","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\2 junit5 yearly versions\junit5-2017-1\junit5-73f3eeb436e78226f19554f2c2b5dab63e103670\documentation\src\test\java\example\UsingTheLauncherDemo.java","3","38","Potential violation of Law of Demeter (method chain calls)","Design","LawOfDemeter"
"3","example","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\2 junit5 yearly versions\junit5-2017-1\junit5-73f3eeb436e78226f19554f2c2b5dab63e103670\documentation\src\test\java\example\UsingTheLauncherDemo.java","3","38","Potential violation of Law of Demeter (method chain calls)","Design","LawOfDemeter"
"4","example","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\2 junit5 yearly versions\junit5-2017-1\junit5-73f3eeb436e78226f19554f2c2b5dab63e103670\documentation\src\test\java\example\UsingTheLauncherDemo.java","3","46","Potential violation of Law of Demeter (method chain calls)","Design","LawOfDemeter"
"5","example","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\2 junit5 yearly versions\junit5-2017-1\junit5-73f3eeb436e78226f19554f2c2b5dab63e103670\documentation\src\test\java\example\UsingTheLauncherDemo.java","3","55","Potential violation of Law of Demeter (method chain calls)","Design","LawOfDemeter"
"6","example","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\2 junit5 yearly versions\junit5-2017-1\junit5-73f3eeb436e78226f19554f2c2b5dab63e103670\documentation\src\test\java\example\UsingTheLauncherDemo.java","3","55","Potential violation of Law of Demeter (method chain calls)","Design","LawOfDemeter"
"7","example","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\2 junit5 yearly versions\junit5-2017-1\junit5-73f3eeb436e78226f19554f2c2b5dab63e103670\documentation\src\test\java\example\UsingTheLauncherDemo.java","3","55","Potential violation of Law of Demeter (method chain calls)","Design","LawOfDemeter"
"1","example.defaultmethods","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\2 junit5 yearly versions\junit5-2017-1\junit5-73f3eeb436e78226f19554f2c2b5dab63e103670\documentation\src\test\java\example\defaultmethods\ComparableContract.java","3","26","Potential violation of Law of Demeter (object not created locally)","Design","LawOfDemeter"
"2","example.defaultmethods","F:\REZA IMPORTANT\Reza\Study Material\UTEP\RA\Software Repositories\2 junit5 yearly versions\junit5-2017-1\junit5-73f3eeb436e78226f19554f2c2b5dab63e103670\documentation\src\test\java\example\defaultmethods\ComparableContract.java","3","33","Potential violation of Law of Demeter (object not created locally)","Design","LawOfDemeter"
